geoid,name,land_area,total,airport,cement,cmv,commercial,elec_prod,industrial,nonroad,onroad,rail,residential
00037,"Abbeville, LA",29189594,56726,19790,0,15181,1232,0,3571,837,14829,61,1222
00064,"Abbeville, SC",11271121,12179,0,0,0,220,0,4794,247,6347,207,361
00091,"Abbotsford, WI",5394605,11240,0,0,0,140,3648,937,135,6025,40,311
00118,"Aberdeen, MS",7416339,5287,0,0,0,178,0,0,108,4651,4,344
00145,"Aberdeen, SD",33035011,41451,11152,0,0,6353,0,1227,2304,11507,335,8570
00172,"Aberdeen, WA",40024137,43480,15,0,5525,2425,4413,742,1691,26930,43,1691
00199,"Aberdeen--Bel Air South--Bel Air North, MD",339739357,357948,79,0,19,51697,0,12101,26340,209978,830,56900
00226,"Abernathy, TX",3051035,2029,0,0,0,141,0,82,148,1353,38,265
00253,"Abilene, KS",8744553,9703,0,0,0,547,0,596,307,6152,333,1765
00280,"Abilene, TX",141784244,311231,14768,0,0,19911,0,6399,10391,239756,663,19341
00334,"Abingdon, IL",3739878,3911,0,0,0,79,0,15,85,2099,1057,574
00388,"Ada, OH",4755113,6005,0,0,0,934,0,359,145,3700,29,835
00415,"Ada, OK",30913554,74579,14,36306,0,4987,0,11107,1331,16151,183,4497
00450,"Adams, NY",5100412,3166,0,0,0,64,0,1,23,2862,100,114
00469,"Adel, GA",15745461,23042,0,0,0,626,0,7556,726,13404,318,409
00496,"Adel, IA",4596496,3489,0,0,0,308,0,128,79,2837,0,135
00550,"Adjuntas, PR",20440782,0,0,0,0,0,0,0,0,0,0,0
00577,"Adrian, MI",62195867,73995,33,0,0,8153,2,5965,4846,35984,419,18590
00604,"Agat, GU",12701668,0,0,0,0,0,0,0,0,0,0,0
00631,"Aguadilla--Isabela--San Sebastián, PR",619742638,0,0,0,0,0,0,0,0,0,0,0
00658,"Ahoskie, NC",7548519,22862,0,0,0,934,11,19400,163,2134,19,198
00676,"Air Force Academy, CO",6458865,840172,0,0,0,8576,5,830549,175,732,0,133
00712,"Ajo, AZ",6916368,3308,0,0,0,218,0,0,331,2196,11,551
00739,"Akron, NY",6779977,20827,14853,0,0,1121,0,251,660,2144,0,1795
00766,"Akron, OH",842815514,1698870,24647,0,0,150799,24765,199925,82562,932054,9022,275092
00793,"Alachua, FL",9777104,14401,0,0,0,79,0,146,138,13889,75,72
00820,"Alamogordo, NM",42964761,40521,0,0,0,5255,0,891,3252,21998,535,8587
00847,"Alamosa, CO",18820657,18603,4396,0,0,988,0,134,893,9309,29,2850
00901,"Albany, GA",183459979,249818,1190,0,0,13241,0,68163,8423,147068,151,11579
00921,"Albany, MN",4338914,9333,0,0,0,732,0,2204,425,5234,0,736
00955,"Albany, OR",61948340,92206,3513,0,0,5913,0,20238,5835,49503,306,6895
00970,"Albany--Schenectady, NY",765902446,2024262,57640,0,10119,256585,431983,114676,69873,756720,4844,321817
00982,"Albemarle, NC",44466745,35614,27,0,0,2501,16,7620,2223,20839,89,2295
01009,"Albert Lea, MN",25489329,120485,7,0,0,4588,0,87426,1670,19057,309,7426
01036,"Albertville, AL",92828321,143132,18,0,42,3388,0,72127,3860,60941,43,2708
01063,"Albia, IA",5610339,10210,0,0,0,307,0,149,90,8671,544,447
01090,"Albion, MI",17101887,72746,0,0,0,2127,25987,23063,1478,16187,50,3851
01117,"Albion, NY",7638315,5718,0,0,0,925,0,50,230,2452,33,2025
01144,"Albion, PA",7434019,3159,0,0,0,505,2,268,241,1102,36,1002
01171,"Albuquerque, NM",650723346,1933289,32567,0,0,206178,281685,331581,107450,766090,326,207409
01198,"Alderson, WV",3437394,1686,0,0,0,80,0,113,78,1116,169,127
01225,"Aledo, IL",5738644,15154,14,0,0,84,0,523,88,14170,0,272
01232,"Aledo, TX",12139191,5361,0,0,0,89,0,56,334,4597,191,92
01252,"Alexander City, AL",25156220,24674,0,0,0,999,0,3255,482,19327,103,506
01279,"Alexandria, LA",169611448,280963,16773,0,0,13410,49,100935,8225,130075,4251,7240
01306,"Alexandria, MN",38396127,38897,7,0,0,3557,0,7843,1781,21520,168,4019
01333,"Alfred, NY",3117022,2980,0,0,0,46,0,1,8,2889,0,35
01360,"Algoma, WI",4746973,5099,0,0,0,581,0,1878,243,1289,0,1105
01387,"Algona, IA",6887318,16481,0,0,0,1010,16,2668,328,11105,9,1342
01414,"Alice, TX",28171291,25419,48,0,0,3462,0,616,1302,18088,0,1901
01441,"Allegan, MI",12209395,14574,0,0,0,1215,0,5491,1276,4741,0,1849
01468,"Allendale, SC",5948733,4842,0,0,0,40,0,6,65,4412,187,130
01495,"Allentown, PA--NJ",896591063,15055091,31874,130905,0,2737320,799288,10458870,71916,616526,3935,204453
01522,"Alliance, NE",12077338,13160,18,0,0,1228,0,2726,594,3285,3266,2039
01549,"Alliance, OH",45952624,92337,0,0,0,8155,0,15648,5239,46075,2143,15075
01603,"Alma, GA",7409524,2590,0,0,0,188,0,163,117,1984,0,137
01630,"Alma--St. Louis, MI",19248680,24745,0,0,0,2857,60,1822,1205,14391,102,4305
01657,"Almont, MI",3627338,4500,0,0,0,344,0,197,434,2261,0,1263
01684,"Alpena, MI",24395070,504923,0,146583,3,4184,277788,50584,958,17318,89,7413
01711,"Alpine, TX",10814928,6094,0,0,0,743,0,58,489,3655,521,626
01738,"Altavista, VA",14409084,7851,12,0,0,547,92,1241,729,4103,360,765
01765,"Alton, IL--MO",142052251,2435649,28,0,4,17547,700052,1590032,10852,76820,2694,37614
01792,"Altoona, PA",96869930,252101,37,0,0,15807,0,131832,7490,57703,2544,36685
01819,"Alturas, CA",4933312,18611,0,0,0,0,0,0,147,18150,0,313
01846,"Altus, OK",31488097,32908,0,0,0,2992,0,11515,1638,11771,49,4941
01873,"Alva, OK",6803003,6836,0,0,0,648,0,535,214,4064,190,1181
01900,"Alvarado, TX",7362427,12738,0,0,0,353,0,474,195,11420,125,168
01927,"Amarillo, TX",210824553,493701,21754,0,0,20534,0,24001,23970,352306,7740,43393
01981,"American Falls, ID",3699797,4675,0,0,0,346,0,223,137,3505,0,463
02008,"Americus, GA",31468464,16868,0,0,0,1673,0,645,860,12148,63,1477
02035,"Amery, WI",5343408,3448,0,0,0,252,0,93,143,2615,0,343
02062,"Ames, IA",59801206,274826,0,0,0,56551,156561,7177,8177,26471,2798,17089
02116,"Amite City, LA",18158237,13273,0,0,0,2630,0,2242,286,7682,248,182
02143,"Amory, MS",14384769,11215,23,0,0,798,0,0,767,8253,601,772
02153,"Amouli, AS",12119253,0,0,0,0,0,0,0,0,0,0,0
02170,"Amsterdam, NY",26865160,35794,27,0,42,4047,0,495,3845,11235,3289,12811
02197,"Anaconda-Deer Lodge County, MT",6196633,8114,0,0,0,1845,0,0,68,4172,7,2020
02224,"Anacortes, WA",24575119,53284,7683,0,11925,5269,0,0,2184,21998,48,4174
02251,"Anadarko, OK",6280063,132863,0,0,0,748,119392,670,149,11069,7,827
02278,"Anamosa, IA",5458867,6290,20,0,0,1131,7,28,136,4270,0,695
