country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,619,646,710,680,661,593,554,683,635,831,930,809,784,870,789,571,1220,637,543,569,586,558,624,321,801,937,180,447,612,649,488,532,539,649,660,708,726,759,807,810,2380,2410,2440,2560,2620,2720,2720,2820,2660,2630,2510,2500,1350,862,873,898,884,891,898
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,84.3,91.7,91.7,106,106,154,183,293,330,385,414,491,689,707,839,1010,1090,1280,1220,942,1670,1900,1530,1640,1920,2130,1990,2390,2160,2240,1760,1980,2100,2520,2820,3500,3140,3120,2860,2770,2600,2430,1380,1330,1280,1230,1170,1090,1030,810,769,813,1060,1210,909,1320,1640,2270,4200,6770,8460,12.2k,10.8k,9040,8460,9030,8660,8980,9450
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,249,312,275,348,414,502,620,594,619,549,454,1180,1150,1220,1190,1550,993,1670,2790,3580,3410,4500,4880,4870,4410,3280,3530,5400,5490,5340,5270,4640,5100,4990,4680,4640,5790,5050,4930,5090,5070,5170,5750,3870,11k,10.4k,7350,7280,9140,9520,9680,12.6k,9000,18.7k,19k,22.1k,25k,25.5k,27.6k,28.9k,30.4k,33.8k,33.3k,44.3k,34k,34.1k,34.1k,34.6k
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,51.3,55,66,66,66,69.7,69.7,77,80.7,88,95.3,95.3,103,121,128,143,150,150,147,150,143,143,117,139,154,154,155,156
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,18.3,128,297,348,433,693,627,744,462,154,121,484,928,704,1020,297,403,374,414,502,664,840,1510,1200,1440,2020,2280,2460,2080,2020,2170,2550,2680,3070,3250,3740,4350,5640,5290,4350,4590,4950,5720,6490,7590,5170,7340,7310,7630,7830,7880,8060,7440,7330,8980,5520,4290,2520,2340,1930,2090,2020,1540,1750,2980,3020,3220,3750,4290,4170,4250,3900,3930,4370,4380,4600,5240,4920,4910,5490,4620,4540,4660,4570
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,407,411,407,425,455,466,491,513,524,524,532,535,561,576,546,539,539,517,517,491,488,477,462,466,469,483,471
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,2700,2660,5070,5430,4330,3570,5510,5280,5230,4890,5120,282,2120,5610,5720,5510,5520,5790,5740,5980,6730,6470,6620,4560,5820,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,18.3,22,18.3,22,25.7,917,1240,20.5k,15.2k,21.2k,23.5k,30.6k,31.3k,31.1k,39.6k,38.8k,44.8k,36.6k,36.9k,36.8k,36.8k,35.2k,46.2k,49.7k,47.1k,47.5k,48.1k,54.2k,51.7k,56.7k,57.8k,65.6k,72.7k,70.1k,72.8k,73.2k,80.7k,77.6k,112k,101k,83.8k,106k,112k,115k,122k,133k,154k,166k,156k,169k,218k,218k,223k,192k,203k,200k,206k
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,891,1760,1370,939,1390,1550,1990,2270,2310,2080,2350,2920,2070,2490,2820,2860,3800,3990,6260,6260,7620,5940,8910,9950,9490,10.2k,8680,6950,4990,2230,2520,3730,5900,5540,7300,8450,11k,11.2k,11.3k,13.4k,12.8k,13.1k,12.8k,12.9k,13.1k,13.2k,14.3k,14k,15.1k,16.7k,16.4k,17.4k,15.9k,14k,13.5k,14.1k,14k,13.7k,13.7k,14.5k,17.4k,15.4k,30k,35k,36.1k,35.2k,36.8k,39.6k,44.3k,47.7k,44.2k,49k,48.8k,51.2k,53.7k,50.1k,55.7k,58.9k,63.1k,65.5k,69.1k,77.3k,82.7k,88.9k,90.1k,94k,95.5k,94.9k,99.7k,101k,103k,111k,109k,102k,103k,105k,106k,100k,104k,115k,121k,117k,112k,117k,121k,118k,122k,128k,135k,138k,139k,147k,142k,133k,124k,135k,157k,162k,175k,174k,188k,179k,187k,190k,192k,192k,195k,200k,200k,200k,196k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.0384,0.0256,0.032,,,,,,,,,,,,,,,,,0.198,,,,,0.601,,,0.844,0.895,1.18,1.5,1.36,1.42,1.59,1.52,4.81,5.52,4.59,6.23,6.76,9.12,9.36,8.79,10.7,12.3,15.2,15.6,20.3,20.9,24.5,25.8,27.2,30.9,31.4,34.2,35.1,37.1,38.7,41.8,47.3,52.1,55.1,64.6,65.8,75.6,77,89,99.9,116,131,135,130,127,142,126,144,161,162,172,168,174,198,215,194,178,189,174,69.5,59.4,54.2,58.7,71.6,79.1,94.3,93.1,135,168,186,201,273,328,369,412,499,565,648,662,699,707,848,745,513,655,613,649,730,878,935,1060,1180,1280,1370,1450,1590,1800,1970,2160,2310,6920,7210,7440,7810,8380,8920,9460,10000,10.5k,10.8k,11.2k,11.8k,12.5k,13.2k,13.8k,14.3k,15k,15.6k,16.1k,16.7k,16.8k,17.5k,17.2k,17.5k,17.8k,17.9k,19.3k,19.4k,19.3k,19.8k,19.4k,18.1k,18.8k,5860,2580,2720,3440,2590,3270,3400,3050,3490,3540,3080,3460,3690,4380,4410,5100,5580,4370,4260,4970,5750,5540,5560,4840,5180,5010,5580
